Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
D'Angelo Russell,BKN,28,29,16,13,26.3,12.4,4.4,10.7,41.5,1.9,5.8,33.3,1.6,1.8,84.9,0.3,2.5,2.8,4.7,1.7,0.8,0.1,1.8,23.8,1,0,1.6
Tyus Jones,PHX,28,31,15,16,31.4,12.3,4.7,9.5,49.3,2.3,5.3,43.6,0.6,0.7,86.4,0.5,2,2.6,6.4,1.2,0.9,0.2,1,27.2,4,0,-2.5
Josh Giddey,CHI,22,29,14,15,27.3,12.3,4.7,10.4,44.9,1.2,4,31,1.8,2.4,72.9,1.4,5.5,6.9,7,2.7,1,0.4,1.4,32.7,6,2,-1.7
Brook Lopez,MIL,36,30,16,14,32.7,12.3,4.7,9.6,48.4,2,5.2,37.8,1,1.3,74.4,1.2,3.7,4.9,1.6,1.1,0.9,2,2.3,28.2,1,0,1.3
Jrue Holiday,BOS,34,26,19,7,30.6,12.2,4.5,10,44.8,1.8,5.4,32.6,1.5,1.7,88.9,1.1,3.2,4.3,3.7,1.5,0.9,0.4,1.5,25.4,0,0,4.7
Daniel Gafford,DAL,26,31,19,12,20.7,12.2,5,7,72.2,0,0,0,2.2,3.2,67.7,2.5,3.6,6.2,1.2,1,0.5,1.3,2.6,25.8,2,0,0.7
Naz Reid,MIN,25,31,17,14,24.4,12.2,4.5,10,45.5,1.7,4.9,34.6,1.4,1.7,81.1,0.7,4.2,4.9,1.7,1.2,0.7,0.8,2.4,23.8,1,0,1.8
P.J. Washington,DAL,26,25,19,6,32.4,12.2,4.4,9.9,44.9,1.6,4,39.4,1.7,2.3,74.1,1.5,6.2,7.7,2.2,1.8,1.2,1.1,2,29.9,7,0,5.8
Julian Champagnie,SAS,23,32,16,16,28.3,12.2,4.2,9.7,43.1,2.6,7.1,37,1.2,1.3,90.2,0.7,4.1,4.8,1.4,1.1,0.9,0.6,1.6,23.2,0,0,1.7
Russell Westbrook,DEN,36,31,18,13,26.4,12.1,4.5,10,44.7,1.1,3.5,31.2,2,3.3,62.4,1.1,3.5,4.5,6.5,2.7,1.7,0.5,2.5,31.4,5,2,-1.2
Terry Rozier,MIA,30,27,13,14,28.7,12,4.3,10.8,39.7,1.7,5.3,32.2,1.7,2,88.7,0.7,3.3,4,2.7,1.5,0.7,0.4,1.4,22.8,0,0,-0.2
Bruce Brown,TOR,28,1,0,1,19.2,12,6,12,50,0,2,0,0,0,0,1,2,3,1,1,1,0,1,19.1,0,0,-6
Mark Williams,CHA,23,10,0,10,18.3,12,5,7.6,65.8,0,0,0,2,2.6,76.9,2.2,5,7.2,2.1,0.6,0.6,1,2,28,2,0,-5.7
Keldon Johnson,SAS,25,29,14,15,24.7,12,4.5,10,44.8,1,3.7,26.9,2,2.7,75.3,1.1,3.9,5,1.6,0.8,0.8,0.2,1.6,22.5,1,0,-3.5
Amen Thompson,HOU,21,32,21,11,27.8,11.9,4.6,8.3,55.6,0.3,1.3,26.2,2.3,3.4,69.4,2.5,4.6,7.1,2.2,1.8,1.1,1.1,2.3,28.5,7,0,3.6
Caris LeVert,CLE,30,26,24,2,23.9,11.9,4.2,8.1,51.2,1.8,3.9,47.5,1.8,2.6,68.7,0.5,2.2,2.7,3.8,1.3,1,0.5,1.3,23.9,0,0,10.5
Jabari Smith Jr.,HOU,21,32,21,11,31.2,11.9,4.1,9.5,43,1.7,4.9,35.3,2,2.3,87.7,1.8,4.8,6.7,1,0.9,0.3,1,2.3,24.4,5,0,3.5
Keegan Murray,SAC,24,31,13,18,35.5,11.9,4.6,11,41.6,1.6,5.5,29.1,1.1,1.3,87.2,2.2,5.2,7.4,1.4,1,0.7,0.8,2.9,26.4,9,0,1.1
Jonas Valan?i?nas,WAS,32,30,5,25,19.9,11.9,4.9,8.7,55.9,0.1,0.6,15.8,2,2.2,92.4,2.3,5.7,8.1,2.3,1.7,0.5,0.8,1.7,27,9,0,-6.6
Jordan Hawkins,NOP,22,17,3,14,24.8,11.8,3.8,10.6,35.9,1.9,6,32.4,2.2,2.5,88.1,0.4,2.6,2.9,1.1,1,0.4,0.5,0.9,18.7,0,0,-7.4
Alexandre Sarr,WAS,19,27,4,23,27.3,11.6,4.4,10.8,40.5,1.5,4.7,31.7,1.4,2.2,63.3,1.9,4.2,6.1,2.1,1.5,0.7,1.8,2.8,28.1,2,0,-9.7
Brandon Boston,NOP,23,30,3,27,25.4,11.5,4.3,9.7,44.2,1.3,3.6,34.9,1.6,2,80.3,0.6,2.7,3.3,2.7,1.4,1.4,0.2,1.8,23.2,0,0,-3.2
Scoot Henderson,POR,20,24,9,15,25.9,11.5,4.1,10.2,40.2,1.1,3.5,31.8,2.2,2.9,75.7,0.7,2.2,2.9,5,2.6,1.1,0.3,2.7,23.9,1,0,-4.8
Onyeka Okongwu,ATL,24,26,14,12,23.5,11.5,4.5,8.1,55,0.4,1.6,23.8,2.2,2.8,76.7,2.5,4,6.5,1.3,0.8,0.7,0.7,2.2,24.8,5,0,-1.4
Corey Kispert,WAS,25,25,4,21,26.9,11.4,4.2,9.5,43.9,2,5.8,33.6,1.1,1.3,84.4,0.4,2.8,3.2,1.6,1.1,0.6,0.2,1.6,18.7,0,0,-6.4
Bogdan Bogdanovi?,ATL,32,14,8,6,25.5,11.3,3.9,9.5,40.6,2.1,6.4,33.7,1.4,1.5,95.2,0.6,2.5,3.1,2.2,1.8,0.9,0.3,2.6,20,0,0,-0.3
Ochai Agbaji,TOR,24,32,7,25,30.1,11.3,4.5,8.9,50.9,1.7,4.1,41.2,0.5,0.8,65.4,0.9,3.1,4,1.9,0.8,0.9,0.5,2.4,22.1,0,0,-5
Jaylen Wells,MEM,21,33,22,11,24.8,11.3,4.1,9.1,44.9,1.8,4.8,37.3,1.3,1.6,81.1,0.9,2.2,3.1,1.7,1.2,0.5,0.2,1.8,18.3,0,0,3.5
Tari Eason,HOU,23,24,16,8,22.8,11.3,4.4,9.2,47.5,1,3,31.5,1.5,2,75.5,2.1,4.2,6.3,1,0.8,1.9,1,2.5,28.3,2,0,3.8
Zach Edey,MEM,22,20,12,8,21.9,11.3,4.7,7.7,60.4,0.5,1.1,42.9,1.5,2.4,63.8,3.7,4.3,8,1.1,1.6,0.8,1.2,2.9,26.7,4,0,6.3
Duncan Robinson,MIA,30,28,14,14,23.5,11.1,4,9.5,41.6,2.5,6.7,37.8,0.7,0.8,86.4,0.4,2,2.4,2.5,0.9,0.5,0.1,2.2,18.7,0,0,2.1
Herbert Jones,NOP,26,15,3,12,32.6,11.1,4.1,9.4,43.3,1.1,3.9,29.3,1.8,2.3,79.4,1.5,2.7,4.2,3.2,1.9,2,0.5,3.3,26.4,0,0,-2.3
T.J. McConnell,IND,32,32,16,16,19.7,11,5,9.1,55,0.2,0.7,30.4,0.8,1.1,74.3,0.7,1.9,2.6,4.3,1.6,1.2,0.3,1,23.3,1,0,-2.4
Andrew Nembhard,IND,24,18,11,7,26.7,10.9,4.1,8.4,48,0.8,2.3,34.1,2.1,2.3,88.1,0.4,2.7,3.1,4.9,1.8,0.8,0.2,1.8,22.9,0,0,4.3
Naji Marshall,DAL,26,26,15,11,23.2,10.9,4.3,8.2,52.8,0.8,2.4,31.7,1.4,1.6,88.1,0.9,2.3,3.3,2.2,1.3,0.8,0.1,1.4,19.5,0,0,1.8
Stephon Castle,SAS,20,31,15,16,25.1,10.9,3.8,10,38.3,1,3.7,26.7,2.2,3.1,70.8,0.6,1.8,2.5,3.6,1.9,0.8,0.3,1.7,20.8,0,0,-1.8
Scotty Pippen Jr.,MEM,24,33,22,11,22.5,10.8,4.2,8.7,47.7,1.1,3.1,36.6,1.4,2.1,67.1,0.7,2.8,3.5,5.1,2.1,1.1,0.4,2.4,24.8,6,1,1.3
Zaccharie Risacher,ATL,19,33,18,15,23.7,10.8,4,9.9,39.9,1.2,4.3,28.9,1.6,2.3,69.7,1.2,2.2,3.4,1.2,1.2,0.8,0.6,2.1,19.7,0,0,-1.8
Jose Alvarado,NOP,26,11,3,8,25.6,10.7,3.6,9.2,39.6,2.2,5.5,40,1.3,1.5,82.4,0.5,1.6,2.2,4.5,1.3,1.5,0.3,2.4,24.2,0,0,-6.9
Harrison Barnes,SAS,32,32,16,16,27.7,10.7,3.5,7.3,48.3,1.4,3.4,41.3,2.2,2.8,79.8,1.5,2.3,3.8,1.5,0.7,0.3,0.2,0.8,18.2,1,0,0.6
Justin Champagnie,WAS,23,13,3,10,25.8,10.5,4.2,7.8,53.9,1.4,3.7,37.5,0.7,1.1,64.3,2.4,4.6,7,1.1,1.2,1.2,0.9,2.5,25.9,2,0,-6.1
Rudy Gobert,MIN,32,31,17,14,33.8,10.5,4,6.3,63.6,0,0,0,2.5,3.5,70.9,3.5,7.2,10.7,1.7,1.5,0.7,1.4,2.6,30.8,14,0,1.2
Obi Toppin,IND,26,30,14,16,19.9,10.5,4.1,7.4,55.4,1.3,3.5,35.8,1,1.2,86.1,0.7,3.4,4.1,1.7,0.6,0.8,0.4,1.6,20.8,0,0,-1.8
Royce O'Neale,PHX,31,31,15,16,26.3,10.5,3.7,8.3,44.7,2.5,5.7,44.1,0.5,0.7,76.2,1,4.6,5.6,2.4,1,1,0.6,2.3,24.4,0,0,-0.6
Grayson Allen,PHX,29,23,13,10,23.9,10.4,3.2,8,40.4,2.2,5.8,37.6,1.8,2.2,84,0.7,2.5,3.2,1.8,1,0.9,0.3,1.5,19.5,1,0,0.6
Dorian Finney-Smith,LAL,31,20,7,13,29,10.4,3.7,8,45.9,2.4,5.4,43.5,0.8,1.2,62.5,1.6,3,4.6,1.6,0.9,0.9,0.6,2.7,21.8,0,0,2.1
Walker Kessler,UTA,23,25,6,19,29.8,10.4,4.5,6.3,70.9,0.1,0.1,66.7,1.4,2.6,52.3,4,7,11,1.6,1.5,0.5,2.8,2.3,34.4,12,0,-6.4
Grant Williams,CHA,26,16,6,10,29.9,10.4,3.4,7.7,43.9,1.7,4.6,36.5,1.9,2.3,83.8,1.1,4,5.1,2.3,1.8,1.1,0.8,2.9,24.1,0,0,0.6
De'Anthony Melton,BKN,26,6,4,2,20.2,10.3,3.7,9,40.7,2.2,5.8,37.1,0.8,1.3,62.5,1,2.3,3.3,2.8,1.7,1.2,0.3,3,21.4,1,0,4.5
Patrick Williams,CHI,23,23,11,12,27.1,10.3,3.6,9,39.6,1.9,5,38.6,1.3,1.4,87.9,0.9,3.5,4.3,2.1,1.5,0.9,0.6,1.3,21.7,1,0,-5.1
Chris Boucher,TOR,31,29,7,22,18.1,10.3,3.7,7.9,46.5,1.2,3.8,30.6,1.8,2.3,78.8,1.4,3,4.4,0.7,0.8,0.6,0.7,1.4,19.7,1,0,-1.8
Ty Jerome,CLE,27,31,27,4,17.7,10.3,3.7,7.5,50,1.4,3.3,41.7,1.4,1.5,89.6,0.6,1.4,2,3.5,1.1,1.2,0,1.5,20.5,0,0,3.3
Dalton Knecht,LAL,23,31,18,13,22.7,10.2,3.8,8,47.4,1.7,4.7,36.7,0.9,1.2,77.8,0.6,2.9,3.5,1.1,0.5,0.4,0.1,1.3,17,0,0,-1
Derrick Jones Jr.,LAC,27,30,18,12,24.9,10,4,7.9,50,1.1,2.9,37.5,1,1.1,88.2,1.2,2.2,3.3,1,1,1.3,0.4,2.1,19.6,0,0,0.9
Tim Hardaway Jr.,DET,32,29,12,17,27.2,10,3.3,7.9,41.9,1.9,5.3,36.1,1.4,1.7,87.5,0.2,1.8,2,1.6,0.7,0.3,0,1.3,15.1,0,0,-4.4
Donte DiVincenzo,MIN,27,31,17,14,25.3,9.9,3.4,8.7,38.9,2.4,6.6,35.6,0.8,1,80.6,0.4,3,3.4,3.4,1.6,1.2,0.2,1.5,21.7,0,0,0.9
Goga Bitadze,ORL,25,29,19,10,24.7,9.9,4.2,6.4,65.6,0,0.5,7.1,1.5,2,74.1,3,5.4,8.5,2.1,1.5,0.9,1.7,2.5,29.4,13,0,3
Amir Coffey,LAC,27,31,19,12,24.4,9.9,3.5,7.1,48.9,1.6,3.7,42.6,1.4,1.7,84.6,0.5,2.1,2.6,1.2,0.7,0.5,0.1,1.6,15.9,0,0,0.6
Kevin Porter Jr.,LAC,24,28,16,12,20.1,9.9,4,9.6,41.5,0.7,2.6,25.7,1.2,1.8,64.7,0.7,2.9,3.6,3,2.3,1,0.3,1.8,20.2,0,0,-0.9
Miles McBride,NYK,24,28,19,9,24.5,9.8,3.4,8.1,42.5,1.9,4.7,40.2,1,1.3,80,0.8,1.9,2.6,3,0.9,0.9,0.2,1.6,19.9,0,0,4.9
Jaden McDaniels,MIN,24,31,17,14,29.7,9.7,3.9,9,43.4,1.1,3.7,30.7,0.7,1.1,69.7,1.5,3.1,4.5,1.7,1,1.4,0.8,3.1,23.1,2,0,-1.5
Clint Capela,ATL,30,33,18,15,23,9.6,4.3,7.4,58,0,0,0,1,1.9,54,3.4,5.7,9.2,1.3,0.9,0.6,1,2,26.5,7,0,1.4
Kevin Huerter,SAC,26,28,12,16,25.2,9.6,3.6,8.4,43.4,1.8,5.6,31,0.6,0.8,69.6,0.5,3,3.5,2,1,1,0.5,2.2,20.3,0,0,-0.1
Luguentz Dort,OKC,25,30,25,5,29.3,9.6,3.3,8.2,39.8,2.1,5.5,38.6,0.9,1.2,80,1.5,3.1,4.6,1.6,0.5,1.2,0.8,3.1,22.8,0,0,7.2
Guerschon Yabusele,PHI,29,29,12,17,23.5,9.6,3.5,7,49.5,1.4,3.7,38.9,1.2,1.8,65.4,1.7,3.5,5.2,1.8,1.3,0.8,0.4,2.6,20.7,1,0,-0.3
Larry Nance Jr.,ATL,31,15,6,9,19.4,9.5,3.7,6.3,58.5,1.7,3.3,52,0.5,0.5,87.5,1.1,3.2,4.3,1.6,0.7,1.1,0.7,1.5,21.7,2,0,-4.4
Dalano Banton,POR,25,25,7,18,16.5,9.5,3.4,8.1,42.1,1.2,3.5,35.6,1.5,2.2,66.1,0.4,1.9,2.2,2.6,1.7,0.9,0.5,1.1,18.6,0,0,1.3
Chris Paul,SAS,39,32,16,16,29.1,9.5,3.1,7.5,41.7,1.7,4.8,35.5,1.5,1.6,98,0.5,3.7,4.1,8.4,1.8,1.5,0.2,1.8,30.2,9,0,3.8
Nic Claxton,BKN,25,26,8,18,25.6,9.4,4.1,7.3,56.3,0,0.3,12.5,1.2,2.3,50.8,2,5.4,7.4,2,1.3,0.9,1.2,2.2,26.2,5,0,-4
Yves Missi,NOP,20,32,5,27,26.9,9.4,3.8,6.8,55,0,0,0,1.9,2.9,64.9,3.9,4.7,8.5,1.4,1.2,0.7,1.4,2.3,26.8,7,0,-7.2
Gary Trent Jr.,MIL,25,28,16,12,24.9,9.4,3.3,7.9,41.8,2,5,39.7,0.8,0.9,88.5,0.2,2,2.2,0.9,0.7,1,0,2.1,15.8,0,0,-0.7
Nickeil Alexander-Walker,MIN,26,31,17,14,23.4,9.4,3.4,6.9,49.5,1.7,3.9,43.4,0.8,1.1,76.5,0.5,2.2,2.7,2.5,1.4,0.9,0.3,1.6,18.6,1,0,3.7
Jay Huff,MEM,27,29,19,10,15.2,9.3,3.3,6.3,52.2,1.7,4,41.4,1.1,1.5,76.7,0.6,2.1,2.7,0.8,0.7,0.3,1.1,1.7,17.3,0,0,-0.1
Nick Richards,CHA,27,17,3,14,21.9,9.3,3.2,5.6,56.8,0,0.1,0,2.9,4.5,65.8,2.3,5.5,7.8,1.2,1.7,0.4,1.2,2.7,23.6,4,0,-5.2
Jalen Duren,DET,21,29,13,16,24.8,9.3,3.8,5.4,69,0,0,0,1.8,2.9,60.7,3,6.1,9.1,2.3,2,0.5,1.1,3.2,26.7,10,0,-4.4
Quentin Grimes,DAL,24,30,19,11,21.3,9.3,3.2,6.7,47.5,1.6,3.8,42.1,1.3,1.7,73.1,0.8,3.1,3.9,1.6,1.1,0.7,0.2,1.7,17.9,0,0,2.8
Caleb Martin,PHI,29,24,9,15,29.6,9.3,3.2,7.6,42.3,1.1,2.9,37.1,1.8,2.7,64.6,1.5,3.1,4.5,2.1,1.6,1,0.5,1.9,20.6,1,0,-5.7
Aaron Nesmith,IND,25,6,2,4,22.7,9.2,3.2,6,52.8,1,1.8,54.5,1.8,2.2,84.6,0.7,3.3,4,1,0.8,0.7,0.3,4,17.6,0,0,-1.5
Marcus Smart,MEM,30,18,11,7,21.2,9.2,2.9,7.9,37.3,1.6,4.8,33.3,1.7,2,83.3,0.8,1.6,2.3,3.8,1.9,1.3,0.3,1.7,20.7,0,0,4.6
Jalen Wilson,BKN,24,31,11,20,26.3,9.1,3,7.6,39.7,1.5,4.3,33.8,1.6,1.9,84.7,0.9,2.4,3.4,1.9,1,0.5,0,2.3,16.6,0,0,-2.4
Al Horford,BOS,38,25,17,8,27.9,9.1,3.3,7.6,43.5,2.1,5.5,38,0.4,0.5,83.3,0.9,4.4,5.3,2.2,0.9,0.6,0.9,1.7,22.4,1,0,6.2
Trentyn Flowers,LAC,19,1,0,1,14.4,9,4,9,44.4,0,2,0,1,1,100,1,3,4,0,1,0,0,3,12.8,0,0,11
Carlton Carrington,WAS,19,30,5,25,29.8,9,3.4,8.4,39.9,1.5,4.4,33.8,0.7,0.9,81.5,0.3,4,4.3,3.9,1.9,0.8,0.2,3,21.2,2,0,-11.2
Aaron Wiggins,OKC,25,31,26,5,20,8.9,3.5,7.7,45,1.4,3.7,37.7,0.6,0.8,83.3,0.9,2.3,3.2,1.3,0.8,0.9,0.3,1.2,17.4,0,0,5.5
Julian Strawther,DEN,22,31,18,13,20.5,8.9,3.1,6.9,45.5,1.3,3.5,36.7,1.4,1.6,84.3,0.3,1.7,2.1,1.3,0.8,0.7,0.4,2.4,15.6,0,0,-3.8
Garrison Mathews,ATL,28,24,12,12,18.5,8.9,2.5,5.6,44.8,2.2,4.8,46.1,1.7,2,83.7,0.2,1.1,1.3,1.5,0.6,0.7,0.3,1.8,15.1,0,0,-1.9
Noah Clowney,BKN,20,23,8,15,20,8.9,3,7.1,41.5,2,5,39.1,1,1.3,79.3,0.9,2.7,3.7,0.7,0.9,0.3,0.5,2.8,16,0,0,-4.5
Peyton Watson,DEN,22,31,18,13,24,8.8,3.2,6.5,49.5,0.7,2.1,35.4,1.6,2.1,78.1,1,2.4,3.3,1.4,0.8,0.8,0.9,2,19.3,0,0,-0.7
Tristan da Silva,ORL,23,30,18,12,25.3,8.8,3.3,7.7,43.1,1.3,3.8,33.9,0.8,1.1,78.1,1,2.6,3.6,1.7,1,0.4,0.2,1.5,16.4,0,0,0.8
Jusuf Nurki?,PHX,30,23,12,11,24.3,8.8,3,6.7,45.2,0.7,2.4,30.4,2,2.8,69.2,1.9,7.6,9.5,1.9,2.3,1,0.7,3,25.5,8,0,-2.3
Toumani Camara,POR,24,30,10,20,30.5,8.7,3.3,7.8,41.9,1.5,4.2,34.6,0.7,1,73.3,2.2,3.4,5.6,1.9,1.5,1.3,0.5,2.8,22.2,0,0,-6.2
Kentavious Caldwell-Pope,ORL,31,33,19,14,30.9,8.7,2.9,7.5,39.3,1.4,4.8,28.9,1.4,1.5,92.2,0.3,1.7,2,2,0.8,1.6,0.6,2.1,20.2,0,0,3.4
Dereck Lively II,DAL,20,25,17,8,24.1,8.7,3.6,5.2,69.8,0,0,0,1.5,2.4,61.7,3.1,4.7,7.8,2.5,1.3,0.6,1.6,2.9,27.2,5,0,5.6
Trayce Jackson-Davis,GSW,24,31,15,16,18.7,8.7,3.8,6.2,60.6,0,0,0,1.1,1.7,64.8,2.1,3.7,5.9,2.1,0.8,0.4,0.9,1.3,21.8,3,0,-1.4
Ja'Kobe Walter,TOR,20,17,4,13,20.2,8.6,3.2,7.9,40.3,1.1,3.7,28.6,1.2,1.7,72.4,0.9,1.9,2.8,1.5,1,0.6,0.3,2.3,16,1,0,-3
Spencer Dinwiddie,DAL,31,30,19,11,22.2,8.6,2.5,6.7,37.6,1.2,3.8,32.7,2.3,2.6,88.6,0.2,1.9,2.1,3.3,0.8,0.9,0.3,1.5,18.6,0,0,1.4
Nikola Jovi?,MIA,21,21,11,10,20.1,8.6,2.8,6.2,44.6,1.2,3.2,38.2,1.9,2.3,81.3,0.5,3,3.6,1.7,0.7,0.9,0.1,1.5,17.6,0,0,1.9
Ziaire Williams,BKN,23,21,9,12,21.8,8.6,3,7.6,40.3,0.9,3.1,27.3,1.7,2.1,79.5,1,3.3,4.4,1.1,0.9,1,0.3,2.7,18.5,1,0,-3.2
Jaime Jaquez Jr.,MIA,23,26,15,11,21.6,8.6,3.2,7.6,41.6,0.5,2.1,25.5,1.8,2.3,75.4,1.3,3.4,4.7,2.1,1.5,1.1,0.1,1.6,19.6,1,0,-3
Svi Mykhailiuk,UTA,27,9,2,7,16.8,8.6,3,6.8,44.3,2.1,5.2,40.4,0.4,0.7,66.7,0.1,1.4,1.6,1.4,1.6,0.9,0.2,1,14.4,0,0,1.8
Anthony Black,ORL,20,33,19,14,24,8.5,3,7.2,41.2,0.6,2.4,26.6,1.9,2.6,75.3,0.6,2.1,2.7,3.5,2.2,0.9,0.7,2.3,19.6,0,0,-0.1
Draymond Green,GSW,34,28,14,14,28.5,8.5,2.9,7,41.1,1.4,3.8,37.7,1.3,2.1,60,1.1,5.3,6.3,5.6,2.5,1.1,1.1,3.2,28.6,2,0,2.4
Cody Martin,CHA,29,30,7,23,26,8.5,3.2,7.4,43.9,1.1,3.6,31.2,0.9,1.2,70.3,1.1,3.6,4.7,2.3,1.1,1.2,0.7,2,21.9,0,0,-2.3
Georges Niang,CLE,31,32,28,4,20.7,8.4,3.2,6.9,46.8,1.7,4.4,37.3,0.3,0.4,78.6,0.7,3.3,4,1.5,1,0.4,0.2,2.3,16.1,0,0,6.8
Jaylen Nowell,NOP,25,8,1,7,21,8.4,3.3,9.1,35.6,1,3.4,29.6,0.9,1.4,63.6,0.8,1.8,2.5,2.3,1,0.1,0.5,1.1,15.6,0,0,-5.3
Cam Whitmore,HOU,20,14,9,5,12.4,8.4,3.2,7.4,43.3,0.7,3.1,22.7,1.2,1.7,70.8,0.7,1.7,2.4,0.5,0.6,0.4,0.1,0.8,13,0,0,0.6
Trendon Watford,BKN,24,13,5,8,16,8.3,2.7,6.1,44.3,0.6,2,30.8,2.3,2.7,85.7,0.3,2.5,2.8,1.2,1.2,0.4,0.3,2.3,14.2,0,0,-4
Isaiah Joe,OKC,25,29,25,4,20.7,8.3,2.9,7.5,38.7,2.1,5.9,35.1,0.4,0.6,70.6,0.5,2.2,2.7,1.4,0.5,0.7,0.2,1.6,15.9,0,0,6.6
Jake LaRavia,MEM,23,33,22,11,22.1,8.2,2.9,5.9,49,1,2.2,44.4,1.5,2.1,70.6,1.5,3,4.5,3.2,1.7,0.9,0.5,2.2,21,1,0,4.5
Bones Hyland,LAC,24,12,5,7,11.4,8.2,2.5,6.1,41.1,1.9,4.3,44.2,1.3,1.5,83.3,0.3,0.8,1.1,1.2,1.3,0.9,0.3,1.3,13.7,0,0,-3.9
Mike Conley,MIN,37,27,17,10,25.3,8.1,2.5,7.3,34.5,1.8,5.1,35.5,1.2,1.3,91.7,0.5,2.3,2.8,4.4,1.2,1.4,0.2,1.7,21.9,1,0,1.2
Jalen Smith,CHI,24,29,13,16,15.4,8,2.9,6.1,47.2,1.1,3.2,34,1.2,1.5,79.1,1.4,4.1,5.5,0.8,0.6,0.3,0.7,1.6,18.4,1,0,-0.2
Brandin Podziemski,GSW,21,30,15,15,24.2,8,3.1,7.7,40.4,1,3.5,29.5,0.7,1,73.3,1,3.5,4.5,3.2,1,1,0.2,1.5,20.8,0,0,1.1
Brice Sensabaugh,UTA,21,25,4,21,16.9,8,2.8,6.2,45.2,1.5,3.9,39.2,0.8,0.9,91.3,0.6,2,2.6,1.3,1.4,0.6,0.1,1.2,13.7,0,0,-6.2
Luke Kennard,MEM,28,21,14,7,20.2,7.9,2.5,5.9,43.1,1.9,4.3,44.4,0.9,1.1,82.6,0.5,2,2.4,2.9,1,0.6,0.1,0.7,16.2,0,0,4
Moses Moody,GSW,22,26,14,12,15.9,7.8,2.7,6.2,43.5,1.3,3.7,36.8,1.1,1.5,74.4,0.4,1.4,1.8,0.8,0.8,0.4,0.2,1.2,12.5,0,0,-0.2
Vasilije Mici?,CHA,30,21,2,19,22,7.8,2.8,8.2,34.3,1.4,3.9,35.8,0.8,1,80,0.7,1.8,2.5,3.8,2.1,0.6,0,1.2,16.2,1,0,-4.6
Sam Hauser,BOS,27,25,17,8,21.6,7.8,2.8,6.6,42.8,2,5.5,36.2,0.1,0.1,100,0.8,2.4,3.2,1.2,0.3,0.8,0.2,1.2,16.1,0,0,4.8
AJ Green,MIL,25,29,16,13,21.8,7.7,2.6,5.8,44.9,2.2,5.1,43.9,0.3,0.3,88.9,0.2,2.1,2.3,1.3,0.7,0.5,0.1,1.9,13.7,0,0,2.1
Ausar Thompson,DET,21,12,6,6,17.4,7.6,3.3,6.7,48.8,0.3,1.3,25,0.8,1.5,50,1.4,2.8,4.2,1.8,1.3,0.9,0.3,2.8,17.8,0,0,-2
Kelly Olynyk,TOR,33,9,0,9,16.6,7.6,2.4,5.8,42.3,1,2.2,45,1.7,2,83.3,1.1,3.8,4.9,2.6,2.1,1,0.2,3,18.8,0,0,-2.6
DaQuan Jeffries,CHA,27,8,1,7,19,7.5,3,5.6,53.3,1.1,2.5,45,0.4,0.5,75,0.8,2.1,2.9,0.6,0.8,0.6,0.6,1.8,14.9,0,0,-5
Robert Williams III,POR,27,10,3,7,17.1,7.5,3.1,4.2,73.8,0.1,0.2,50,1.2,1.3,92.3,1.8,3.5,5.3,1.2,0.8,0.8,1.4,0.9,21.5,0,0,-2.4
