Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Josh Green,CHA,24,30,6,24,28.7,7.5,2.7,6.3,42.1,1.5,3.6,42.1,0.6,1.1,59.4,1.1,1.6,2.7,1.5,1,0.9,0.4,3.1,15.8,0,0,-4.9
Taurean Prince,MIL,30,30,16,14,26,7.5,2.7,5.9,44.9,1.7,3.7,46.4,0.4,0.6,76.5,0.6,3.4,4,1.7,1.2,0.8,0.2,2,16.6,1,0,-2.1
Tyrese Martin,BKN,25,16,5,11,16.6,7.4,2.6,5.8,45.7,1.6,3.9,39.7,0.6,0.7,81.8,0.9,2.4,3.3,1.3,0.8,0.4,0.2,1.2,14.2,0,0,-4.4
Shake Milton,LAL,28,27,10,17,18.2,7.4,2.7,5.8,46.5,1,2.7,38.9,0.9,1.2,75.8,0.6,1.3,1.9,2.4,0.7,0.6,0,1.6,14.2,1,0,-2.5
Wendell Carter Jr.,ORL,25,21,11,10,24.7,7.3,2.6,5.5,46.6,0.3,1.9,17.5,1.9,2.6,70.9,1.6,5.5,7.1,2.2,0.8,0.7,0.6,2.5,22.3,2,0,3.1
Brandon Clarke,MEM,28,31,22,9,18.4,7.3,3.3,5.5,60.6,0,0.5,6.3,0.6,1,61.3,1.7,3.4,5.1,1,0.5,0.8,0.5,2.2,18.2,0,0,5.3
Sam Merrill,CLE,28,28,24,4,19.6,7.3,2.4,6.1,39,1.9,5.4,35.3,0.6,0.6,94.4,0.4,1.5,1.9,1.6,0.5,0.6,0.3,2,14.1,0,0,4.2
Kyshawn George,WAS,21,25,4,21,25.9,7.2,2.5,7.5,33.5,1.3,5,25.6,0.9,1.3,71.9,0.7,3.3,4,2.3,1.1,0.7,0.7,2.9,18.6,0,0,-5.7
Keon Johnson,BKN,22,30,12,18,19.5,7.2,2.7,7.5,36.2,1.3,4.4,28.6,0.5,0.7,72.7,0.6,2.5,3.1,1.2,1.1,0.7,0.3,2.5,14.7,0,0,-3.6
Max Christie,LAL,21,30,17,13,21.8,7.2,2.2,5.1,43.8,0.9,2.5,36,1.8,2.1,87.3,0.7,1.6,2.3,1.2,0.7,0.9,0.4,1.6,14.9,0,0,-2.5
Haywood Highsmith,MIA,28,28,15,13,24.9,7.1,2.6,5.4,49.3,1.4,3.1,44.3,0.5,0.7,68.4,0.9,2.4,3.3,1,0.9,1,0.6,2.1,16.7,0,0,0.5
Cameron Payne,NYK,30,27,21,6,15.1,7,2.6,5.9,43.8,1.5,3.7,40,0.4,0.4,83.3,0.3,1.3,1.6,2.6,0.6,0.6,0.3,1.8,14.8,0,0,2.5
Isaiah Jackson,IND,22,5,1,4,16.8,7,2.8,4.6,60.9,0,0,0,1.4,2.8,50,2.2,3.4,5.6,1,1,0.6,1.6,2.8,20.8,0,0,2
Kris Dunn,LAC,30,32,19,13,23.8,7,2.8,6.4,44.4,1.1,3.3,33.3,0.2,0.4,50,0.8,2.8,3.6,2.8,1.2,1.8,0.3,2.5,20.5,0,0,4.4
Johnny Juzang,UTA,23,27,7,20,16.9,7,2.4,5.7,41.8,1.6,4.1,40,0.6,0.7,84.2,0.6,1.9,2.4,1,0.5,0.4,0.1,1.7,12.4,0,0,-3.8
Andre Drummond,PHI,31,24,9,15,19.3,6.9,2.8,5.6,50,0,0.4,11.1,1.3,2.3,57.4,2.8,5.3,8,0.5,1.7,1.3,0.4,2.5,20.7,3,0,-4.8
Torrey Craig,CHI,34,9,3,6,12.5,6.9,2.4,5,48.9,1.7,3.9,42.9,0.3,0.4,75,0.9,1.9,2.8,0.6,0,0.2,0.1,1.7,12.1,0,0,-3.1
Jeremiah Robinson-Earl,NOP,24,29,5,24,19.4,6.8,2.6,5.8,44,0.8,2.6,30.7,0.9,1,86.2,2,2.8,4.8,1.2,0.8,0.8,0.1,1.3,16.1,2,0,-4.5
Elfrid Payton,NOP,30,7,0,7,20.5,6.7,3.3,6.6,50,0,0.1,0,0.1,0.3,50,0.7,2.7,3.4,6.9,2.9,1.4,0.4,1.4,23.8,1,0,-1.6
Josh Okogie,PHX,26,19,6,13,15,6.6,2.5,5.2,48,0.7,1.8,40,0.9,1.4,66.7,1.5,1.7,3.2,0.5,0.8,1,0.4,1,14.6,0,0,-1.4
Alec Burks,MIA,33,16,10,6,17.1,6.6,2.1,4.6,45.2,1.5,3.3,46.2,1,1.3,80,0.4,1.7,2.1,1.1,0.3,0.7,0.3,0.8,13.3,0,0,4.7
Davion Mitchell,TOR,26,29,7,22,26.3,6.6,2.5,6.2,40,0.9,3,30.7,0.7,1.1,67.7,0.5,1.6,2.1,5,1.9,0.8,0.2,2.8,17.9,1,0,-3.1
Isaac Okoro,CLE,23,23,21,2,21,6.6,2.3,4.7,49.5,1.3,2.7,49.2,0.7,0.9,71.4,0.9,1.3,2.3,1.7,0.4,0.7,0.4,2,15,0,0,4.5
Cason Wallace,OKC,21,30,25,5,26.7,6.5,2.7,6.4,42.4,0.9,3.1,30.4,0.2,0.2,85.7,1.2,2.3,3.4,2.2,0.6,1.7,0.8,2.1,20.7,0,0,5
Kenrich Williams,OKC,30,21,18,3,13.4,6.5,2.5,4.4,57,1,2.2,42.6,0.5,0.5,100,0.9,2.4,3.3,1.1,0.3,0.7,0.2,1.7,14.3,0,0,5.5
Jaden Hardy,DAL,22,24,16,8,14.1,6.5,2.3,5.9,39.7,0.9,2.8,31.8,0.9,1,88,0.2,1.3,1.4,1.2,1.3,0.6,0,1.3,10.5,0,0,-0.5
Day'Ron Sharpe,BKN,23,11,3,8,15.1,6.5,2.5,6,40.9,0.2,1.2,15.4,1.4,1.5,88.2,2.5,2.9,5.4,0.8,1,0.9,0.5,1.6,17.5,0,0,0
Keon Ellis,SAC,24,30,12,18,19.7,6.4,2.1,4.4,47.7,1.3,3.1,42.6,0.9,1.1,84.4,0.7,1.4,2.2,1.1,0.8,1.1,0.8,1.8,15.7,0,0,2.8
Simone Fontecchio,DET,29,30,13,17,17.9,6.4,2.1,5.1,40.5,1.2,3.4,34.7,1.1,1.4,82.9,0.6,2.2,2.8,0.9,0.8,0.3,0.2,1.3,11.9,0,0,-0.5
KJ Martin,PHI,23,24,9,15,20,6.4,2.5,4.1,61.6,0.3,0.9,38.1,1,1.2,82.8,0.9,2.1,3,0.8,0.5,0.5,0.7,2.6,14.1,0,0,1.2
Jaxson Hayes,LAL,24,11,6,5,17.4,6.4,2.4,3.3,72.2,0,0,0,1.6,2.1,78.3,1.9,2.6,4.5,0.8,0.7,0.4,0.8,2.5,15.9,0,0,-1
Ronald Holland II,DET,19,32,14,18,15.8,6.3,2.5,5.3,47.6,0.4,1.9,21.7,0.9,1.1,77.8,0.5,2.5,3,0.7,0.9,0.5,0.2,1.6,11.9,0,0,-1.2
Talen Horton-Tucker,CHI,24,27,9,18,12.5,6.3,2.3,4.9,46.6,0.8,2.2,36.7,0.9,1.4,67.6,0.4,1.6,2,1.6,0.6,0.4,0.3,1.1,12.7,0,0,1.2
Ajay Mitchell,OKC,22,31,26,5,16.3,6.3,2.5,4.8,51.3,0.7,1.5,46.7,0.7,0.8,80.8,0.5,1.5,2,1.7,0.8,0.8,0.1,1.7,13.1,1,0,4
Dru Smith,MIA,27,14,8,6,19.2,6.3,2.2,4.4,50.8,1.1,2.1,53.3,0.7,0.9,76.9,0.9,1.7,2.6,1.6,1.2,1.5,0.4,2.1,16.4,0,0,2.7
Terance Mann,LAC,28,23,14,9,21,6.3,2.4,5.6,43.8,0.7,2,34,0.7,1,66.7,1,2,3.1,1.7,0.6,1,0.2,2,15.5,0,0,-2.1
Ryan Dunn,PHX,21,27,14,13,18.2,6.2,2.4,5.7,42.6,1.1,3.6,29.9,0.3,0.5,50,0.7,2,2.7,0.8,0.5,0.6,0.7,2.3,13.8,0,0,-1.4
Cole Anthony,ORL,24,31,19,12,11.8,6.2,2.2,5.6,38.9,0.7,2.4,30.1,1.1,1.4,79.1,0.4,1.8,2.2,2.3,1.5,0.4,0.2,1.6,12.3,0,0,1.1
Jarace Walker,IND,21,33,16,17,17.9,6.2,2.2,5,44.5,1,2.7,38.2,0.7,1.2,61.5,0.4,3,3.4,1.5,1.3,1,0.3,1.6,15.1,0,0,-3.6
Marcus Sasser,DET,24,21,7,14,13.5,6.1,2.5,4.7,53.1,0.9,2.2,40.4,0.3,0.3,100,0.4,0.6,1,1.8,0.9,0.9,0.1,1.1,12.3,0,0,-0.4
Trey Lyles,SAC,29,22,8,14,19.9,6.1,2,5.4,37.3,1.3,3.8,34.5,0.8,1.1,75,1,3.1,4.1,0.8,0.5,0.5,0.5,1.4,14.7,1,0,-0.6
Dean Wade,CLE,28,23,22,1,22.4,6.1,2,5,40.5,1.6,4.3,36.4,0.5,1,47.8,0.9,4.2,5.1,1.5,0.3,1,0.5,1.5,18.9,1,0,6.8
Jamison Battle,TOR,23,29,7,22,13.8,6.1,2.1,4.5,47.7,1.4,3.3,42.7,0.4,0.5,85.7,0.6,1.4,1.9,1,0.4,0.1,0.1,1.2,10.3,0,0,-2.2
Isaiah Wong,CHA,23,10,1,9,14.3,6.1,2,5.6,35.7,0.4,1.7,23.5,1.7,2.6,65.4,1.2,1,2.2,1.8,1,0.6,0,1.1,12.2,0,0,-1
Kyle Filipowski,UTA,21,21,3,18,16.8,6,2.2,4.4,51.1,0.6,1.7,34.3,1,1.8,56.8,0.9,3.3,4.2,1.8,1,0.6,0.1,1.9,14.8,0,0,-4.9
Ben Simmons,BKN,28,25,10,15,25.1,6,2.7,4.8,56.2,0,0,0,0.6,0.8,71.4,0.9,4.4,5.4,6.9,2.9,0.8,0.5,2.3,23.9,1,0,-1.9
Javonte Green,NOP,31,31,5,26,21.3,6,2.2,4.7,46.2,0.7,1.9,35,1,1.4,74.4,1,2.2,3.2,0.7,0.6,1,0.6,1.5,15.1,0,0,-7.7
James Wiseman,IND,23,1,1,0,4.6,6,2,4,50,0,1,0,2,2,100,0,1,1,0,0,0,0,0,7.2,0,0,-4
Quenton Jackson,IND,26,17,7,10,14.8,6,2.3,4.5,51.3,0.5,1.4,37.5,0.9,1.2,71.4,0.6,1,1.6,1.8,0.6,0.5,0.3,1.9,12.5,0,0,-2.6
Kevin Love,MIA,36,16,10,6,11.4,5.9,2,5.7,35.2,1.1,3.1,36,0.8,1.2,68.4,1.1,3.4,4.5,1.2,0.8,0.8,0.1,0.9,15.1,0,0,-0.3
Jordan Miller,LAC,24,19,10,9,14.2,5.9,2.3,5.4,43.1,0.4,1.6,23.3,0.9,1.2,77.3,0.9,0.9,1.8,1.1,0.8,0.3,0.2,1,10.3,0,0,-1.9
Isaiah Stewart,DET,23,28,11,17,21.3,5.9,2.3,4.3,54.6,0.2,0.8,26.1,1,1.2,87.9,2.1,3.8,5.9,1.8,1,0.5,1.2,2.8,19.6,2,0,-1.8
Malaki Branham,SAS,21,21,10,11,12.1,5.8,2.1,4.8,43.6,0.8,2.1,38.6,0.8,1,85,0.1,1.3,1.4,1.2,1.2,0.3,0.1,0.7,9.4,0,0,-4.1
Jonathan Isaac,ORL,27,28,17,11,16.7,5.8,2.1,5.2,40.4,0.7,2.6,26,0.9,1.3,66.7,1.7,3,4.7,0.4,0.5,0.9,1.3,1.4,17.7,0,0,-2.3
Donovan Clingan,POR,20,24,10,14,16.2,5.7,2.4,4.5,52.8,0.2,0.7,31.3,0.8,1,75,2.9,3.5,6.3,0.5,1.2,0.5,1.7,2.8,19.5,1,0,-2.4
Jared Butler,WAS,24,21,2,19,10.7,5.6,2.2,4.9,45.6,0.3,1.2,28,0.8,1.1,73.9,0.3,0.7,1,2.4,0.9,0.3,0.1,1.1,10.8,0,0,-1.8
Zach Collins,SAS,27,25,12,13,13.9,5.6,2,4.2,47.2,0.5,1.5,32.4,1.1,1.3,87.5,1.1,2.1,3.2,1.7,0.9,0.4,0.5,2.2,13.8,0,0,-2.6
Ben Sheppard,IND,23,19,10,9,19.9,5.6,2.1,5,42.1,1.4,3.5,38.8,0,0,0,0.5,1.7,2.3,1.1,0.4,0.4,0.3,2.5,11.5,0,0,-3
Alex Caruso,OKC,30,20,17,3,19.9,5.5,2.2,5.7,37.7,0.9,3.3,26.2,0.4,0.5,77.8,0.6,2.3,2.9,2.5,0.8,1.9,0.6,2,19.4,0,0,5.2
Trevelin Queen,ORL,27,8,4,4,15.9,5.5,2,3.9,51.6,1,2,50,0.5,0.5,100,0.3,0.8,1,1.3,1.3,1,0.4,1.9,11.5,0,0,2
Ricky Council IV,PHI,23,22,6,16,12.5,5.5,1.7,4.2,40.2,0.4,1.6,25.7,1.7,2,84.1,0.6,1.5,2,0.7,0.4,0.3,0.2,0.8,10.3,1,0,-1.2
Jonathan Mogbo,TOR,23,32,7,25,17.5,5.4,2.1,4.6,45.6,0.2,0.8,29.2,1,1.4,71.7,1.9,2.7,4.6,1.8,0.9,0.8,0.5,1.9,16.6,0,0,-4.1
Pelle Larsson,MIA,23,18,8,10,16.1,5.4,1.9,3.9,49.3,0.6,1.8,34.4,0.9,1.4,64,0.6,1.3,1.8,1.4,0.6,0.6,0,2.3,10.8,0,0,1.2
Lindy Waters III,GSW,27,25,12,13,17.5,5.4,1.9,5.5,34.8,1.3,4,32,0.2,0.3,85.7,0.5,2,2.6,1.3,0.4,0.7,0.2,1.6,12.6,0,0,1.1
Lonzo Ball,CHI,27,14,7,7,18.2,5.4,1.7,5.1,33.3,1.4,4.3,31.7,0.6,0.7,80,0.4,2.7,3.1,3.6,1.1,1.2,0.5,1.4,18.6,0,0,3
Paul Reed,DET,25,18,6,12,11.8,5.3,2.1,3.6,56.9,0.3,0.8,33.3,0.9,1.2,81,0.8,1.7,2.5,1.1,0.6,1.3,0.7,1.8,15.4,0,0,2.1
Vince Williams Jr.,MEM,24,3,1,2,14.9,5.3,2.3,6.3,36.8,0.3,2.7,12.5,0.3,1.3,25,1.3,2.3,3.7,3,2.3,0,0.7,3,13.9,0,0,4.7
Neemias Queta,BOS,25,26,19,7,15.7,5.3,2.2,3.5,63.7,0,0.1,0,0.8,1.2,73.3,1.7,2.9,4.5,0.7,0.7,0.3,0.9,2,14.6,0,0,3.5
Kobe Bufkin,ATL,21,10,6,4,12.4,5.3,1.8,4.7,38.3,0.4,1.9,21.1,1.3,1.8,72.2,0.5,1.6,2.1,1.7,0.8,0.3,0.2,0.9,11.1,0,0,-2.3
Mont� Morris,PHX,29,26,12,14,13.3,5.2,1.8,4.5,40.5,0.6,2.1,29.6,1,1.2,83.9,0.3,1.3,1.5,1.8,0.5,0.5,0.1,0.5,11.2,0,0,2.2
Seth Curry,CHA,34,29,7,22,13.5,5.1,1.9,4.1,45.8,0.9,2.1,41.9,0.4,0.5,85.7,0.4,1,1.4,0.4,0.3,0.4,0.2,1,9,0,0,-1.6
Matas Buzelis,CHI,20,31,15,16,13.1,5.1,1.8,4.9,36.4,0.8,2.4,33.3,0.7,0.9,78.6,0.5,2.1,2.6,0.5,0.6,0.3,0.8,1.4,11.6,0,0,0.5
Alondes Williams,DET,25,1,0,1,3.7,5,2,2,100,1,1,100,0,0,0,0,0,0,1,0,0,0,0,6.5,0,0,6
Cam Christie,LAC,19,1,0,1,17.8,5,2,7,28.6,1,4,25,0,0,0,1,2,3,0,1,2,0,0,13.6,0,0,8
Eric Gordon,PHI,36,19,6,13,16.6,5,1.7,4.7,36,0.7,2.7,27.5,0.9,1.2,77.3,0.2,0.8,0.9,1.3,0.7,0.7,0.3,0.7,10.1,0,0,-2.1
JT Thor,CLE,22,5,4,1,5.1,5,1.6,2,80,0.6,0.8,75,1.2,1.2,100,0.2,0.6,0.8,0,0.4,0.4,0.6,0.8,8.6,0,0,-1.8
Jamal Shead,TOR,22,28,7,21,15.5,5,2,4.8,42.1,0.7,2,33.9,0.3,0.4,75,0.2,1,1.2,3.3,1.4,0.5,0.1,1.9,12.1,1,0,-3.9
Jaylin Williams,OKC,22,4,4,0,12.4,5,1.8,3.8,46.7,1.5,3.3,46.2,0,0,0,0.8,1.5,2.3,2.5,0.5,0.3,0.3,1.5,12.5,0,0,2
Kyle Anderson,GSW,31,26,14,12,14.5,5,2,4.7,41.5,0.6,1.6,35.7,0.5,0.8,65,0.6,2.4,3,2.2,0.5,0.8,0.5,1.1,15.1,0,0,-0.9
Precious Achiuwa,NYK,25,12,10,2,19.5,5,2,4.3,47.1,0.3,0.9,36.4,0.7,1.3,53.3,2.2,4.6,6.8,1.3,1.1,0.7,0.8,1.4,18.4,1,0,1.8
Charles Bassey,SAS,24,21,12,9,10.6,4.9,2.1,3.6,57.9,0,0,0,0.7,1.2,60,1.6,2.7,4.3,0.4,0.7,0.3,1,1.4,14.1,2,0,-1.8
Marvin Bagley III,WAS,25,19,3,16,8.8,4.9,2,3.7,53.5,0.1,0.5,20,0.8,1.2,65.2,1.4,1.5,2.9,0.4,0.6,0.4,0.3,0.6,10.3,0,0,-1.4
Tidjane Sala�n,CHA,19,28,5,23,19.2,4.9,1.6,5.2,31.5,1,3.3,30.1,0.6,0.9,70.8,1,3.3,4.3,1.1,0.8,0.6,0.2,1.4,13.3,1,0,-4.3
Kevon Looney,GSW,28,28,14,14,15.8,4.9,2.1,4,52.7,0,0,0,0.6,1.5,43.9,3.1,3.8,6.9,1.7,0.6,0.7,0.2,2.3,17.9,1,0,0.5
Pat Connaughton,MIL,31,16,5,11,16.8,4.8,1.7,4.4,38,0.9,2.8,31.1,0.6,0.8,75,0.5,2.4,2.9,1.6,0.7,0.2,0.3,1.3,11.5,0,0,-0.4
Drew Eubanks,UTA,27,24,6,18,13.3,4.8,2,3.2,61.8,0.1,0.2,50,0.8,1.3,61.3,1.1,2.8,3.8,1.1,0.8,0.2,0.6,1.3,12.8,0,0,-1.9
Max Strus,CLE,28,4,4,0,20.9,4.8,1.8,5.8,30.4,1.3,4.8,26.3,0,0,0,0.8,3,3.8,1.5,1,0.5,0,2.3,12,0,0,2.3
Ryan Rollins,MIL,22,16,6,10,11.7,4.8,1.8,3.8,45.9,0.8,1.8,46.4,0.4,0.6,77.8,0.3,1.6,1.9,1.1,1,1.1,0.5,1.2,12.4,0,0,1.9
David Roddy,ATL,23,17,7,10,13.2,4.7,1.7,3.1,54.7,0.6,1.6,39.3,0.6,0.8,84.6,0.3,2.2,2.5,1.1,0.9,0.4,0.2,0.6,10.3,0,0,-3.7
Keaton Wallace,ATL,25,16,7,9,15.5,4.7,1.8,4.4,40.8,0.8,2.3,35.1,0.3,0.3,100,0.1,1.3,1.4,1.9,1.1,0.8,0.4,0.9,11.7,0,0,-3
Taylor Hendricks,UTA,21,3,0,3,24.8,4.7,1.3,6,22.2,1,4,25,1,1.3,75,1.7,3.3,5,0.7,0.7,1.7,1.3,2.7,20,0,0,-7.3
Gary Payton II,GSW,32,28,15,13,13.1,4.6,2.1,3.8,54.7,0.2,1.1,15.6,0.3,0.5,60,1.2,1.6,2.8,1.2,0.5,0.7,0.4,1.4,12.5,0,0,0.3
Julian Phillips,CHI,21,32,15,17,13.9,4.6,1.6,3.9,41.9,0.8,2.3,32,0.6,0.9,66.7,0.8,1.2,2.1,0.5,0.4,0.6,0.3,1.5,9.8,0,0,-1.8
Thomas Bryant,IND,27,17,10,7,11.7,4.6,1.6,3.2,49.1,0.6,1.8,36.7,0.8,0.8,100,0.8,2.5,3.3,0.4,0.2,0.3,0.7,0.9,11.9,0,0,0.6
A.J. Lawson,TOR,24,2,0,2,4.8,4.5,1.5,2,75,1,1,100,0.5,1,50,0,1,1,0,0,0,0,0,5.7,0,0,0.5
Dariq Whitehead,BKN,20,4,1,3,6.9,4.5,1.5,2.8,54.5,1.5,2.5,60,0,0,0,0,0.8,0.8,0.3,0.8,0.8,0.3,0.3,8,0,0,-0.5
Luke Kornet,BOS,29,26,17,9,16.9,4.5,1.7,2.8,60.3,0,0,0,1.1,1.5,74.4,2.2,2.9,5.1,1.5,0.4,0.5,1.1,1.1,17,0,0,4.7
Wendell Moore Jr.,DET,23,13,3,10,14,4.5,1.6,3.2,51.2,0.2,0.8,27.3,1,1.1,92.9,0.8,2.4,3.2,1.4,0.6,0.6,0.2,1,12.3,0,0,0.5
Antonio Reeves,NOP,22,16,1,15,9.3,4.4,1.8,4.4,40,0.6,2.1,26.5,0.4,0.4,85.7,0.4,0.8,1.1,0.6,0.3,0.3,0,0.4,7.4,0,0,-2
Kyle Lowry,PHI,38,22,10,12,20.3,4.4,1.3,3.6,36.3,1,2.7,35,0.8,1,78.3,0.3,1.6,1.9,2.9,0.6,1,0.4,1.9,14.3,0,0,-3.3
Sandro Mamukelashvili,SAS,25,20,9,11,9.2,4.4,1.5,2.8,53.6,0.9,2,43.6,0.6,0.8,73.3,0.6,2.2,2.8,0.4,0.5,0.2,0.3,0.6,9,0,0,-0.4
Jamal Cain,NOP,25,16,2,14,14,4.3,1.6,3.4,45.5,0.6,1.8,32.1,0.6,1,62.5,0.9,1.9,2.8,0.6,0.4,0.5,0.4,1.3,11,0,0,-5.3
Gabe Vincent,LAL,28,31,18,13,18.9,4.3,1.6,4.3,37.3,0.9,2.8,33,0.1,0.3,50,0.3,1,1.3,0.9,0.6,0.8,0.2,1.9,9.5,0,0,-1
Dalen Terry,CHI,22,30,12,18,13.7,4.1,1.5,3.1,47.3,0.4,1.2,34.3,0.8,1.1,70.6,0.6,0.9,1.5,1,0.9,0.5,0.3,1.5,9.1,0,0,-3.8
KJ Simpson,CHA,22,10,1,9,13.4,4.1,1.4,4.7,29.8,0.3,2.4,12.5,1,1.3,76.9,0.9,0.8,1.7,1.9,1,0.7,0.2,1.3,10.7,0,0,-6
Gary Harris,ORL,30,19,12,7,16.4,4.1,1.4,3.5,40.3,1,2.7,36.5,0.2,0.4,50,0.5,0.7,1.2,0.5,0.4,0.5,0.3,0.7,8.2,0,0,1.8
Mason Plumlee,PHX,34,30,15,15,17.2,4,1.5,2.6,55.7,0,0,0,1.1,1.8,60,1.6,4.5,6.1,1.8,0.9,0.3,0.7,2,16.3,1,0,0.6
Cam Spencer,MEM,24,7,6,1,11.6,4,1.1,2.7,42.1,0.6,1.3,44.4,1.1,1.1,100,0.4,1.3,1.7,1.6,0.6,0.1,0.1,1,8.7,0,0,1.9
Josh Richardson,MIA,31,8,4,4,18.7,4,1.4,4.8,28.9,0.8,2.8,27.3,0.5,0.5,100,0.8,0.8,1.5,1.5,1,1,0.1,2.1,10.4,0,0,-3.9
Micah Potter,UTA,26,9,3,6,18.1,4,1.4,3.3,43.3,1.1,2.8,40,0,0,0,1.6,3.6,5.1,1.3,0.7,0.2,0.4,1,13.5,0,0,5.3
Reggie Jackson,PHI,34,14,4,10,11.5,4,1.5,3.7,40.4,1,2.4,42.4,0,0,0,0.2,1,1.2,1.8,0.5,0.5,0.2,0.8,9.8,0,0,0.1
Kris Murray,POR,24,25,9,16,12.2,4,1.6,3.5,46,0.4,1.4,31.4,0.3,0.8,40,1,1.1,2.1,0.7,0.6,0.4,0.1,1,8.5,0,0,-2.5
Blake Wesley,SAS,21,22,11,11,11.4,4,1.5,3.4,45.3,0.2,0.9,20,0.7,1,71.4,0.3,0.6,0.9,1.9,1,0.4,0.1,0.6,8.4,0,0,0.5
Aaron Holiday,HOU,28,21,13,8,9.3,3.9,1.3,2.8,45.8,0.8,1.9,42.5,0.5,0.6,84.6,0,0.9,0.9,1.2,0.3,0.2,0.1,0.7,7.4,0,0,1.4
Luka Garza,MIN,26,9,7,2,5.2,3.9,1.6,2.8,56,0.2,0.9,25,0.6,0.9,62.5,0.4,0.8,1.2,0.1,0.3,0.1,0,0.4,5.5,0,0,0.3
Oso Ighodaro,PHX,22,25,10,15,15.8,3.9,1.7,2.8,61.4,0,0,0,0.4,0.8,57.9,1,2.8,3.8,0.9,0.5,0.5,0.3,1.6,11.5,0,0,0.8
Daniel Theis,NOP,32,23,3,20,14.5,3.9,1.4,3.2,45.2,0.2,1,22.7,0.8,0.9,90,0.9,2.8,3.7,1.5,0.7,0.4,0.6,1.8,12.8,1,0,-3.8
Doug McDermott,SAC,32,22,10,12,9.1,3.9,1.3,3.1,42,1.1,2.7,40.7,0.1,0.2,60,0.1,0.6,0.7,0.1,0.1,0.1,0,0.9,5.4,0,0,1.3
Isaac Jones,SAC,24,20,9,11,8.6,3.8,1.6,2.4,66.7,0.1,0.2,25,0.6,1,55,0.5,1.1,1.6,0.2,0.6,0.1,0.4,1.1,6.9,0,0,-2.5
Jett Howard,ORL,21,31,18,13,10.2,3.8,1.4,3.8,35.9,0.9,2.8,31,0.2,0.2,85.7,0.4,0.8,1.1,0.5,0.4,0.2,0.2,0.9,6.5,0,0,-1
Cam Reddish,LAL,25,24,12,12,19.5,3.8,1.4,2.9,47.1,0.5,1.5,30.6,0.5,0.9,61.9,0.5,1.5,2,0.8,0.5,1.2,0.4,1.6,11.6,0,0,-1.5
Landry Shamet,NYK,27,4,4,0,7.3,3.8,1.5,2.5,60,0.8,1,75,0,0,0,0,0.5,0.5,0.5,0,0.8,0,0.3,7.4,0,0,4.8
Mo Bamba,LAC,26,17,13,4,12.5,3.7,1.4,3.5,40.7,0.4,1.6,22.2,0.5,0.8,69.2,0.8,2.9,3.7,0.6,0.6,0.5,1.1,1.9,13.3,0,0,-2.3
Rob Dillingham,MIN,19,15,7,8,8.5,3.7,1.5,3.4,45.1,0.6,1.4,42.9,0,0,0,0.1,0.7,0.7,1.7,1.1,0.1,0,0.3,6.4,0,0,-2.2
Nicolas Batum,LAC,36,32,19,13,18.5,3.7,1.2,3,39.2,1,2.5,39.2,0.3,0.4,76.9,0.7,2.2,2.8,1.6,0.6,0.6,0.4,1.4,11.9,0,0,2.7
Bruno Fernando,TOR,26,16,2,14,8.9,3.6,1.6,3,54.2,0,0,0,0.4,0.5,75,1.3,1.8,3.1,1.1,0.9,0.3,0.6,1.6,10.6,0,0,-1.2
Andre Jackson Jr.,MIL,23,29,16,13,18.5,3.6,1.4,3.6,38.8,0.6,1.8,35.3,0.2,0.4,53.8,0.9,2.2,3.2,1.5,1.2,0.7,0.2,2.3,11.2,0,0,1.9
